UserID,Course Title
UserID,Course Title
user_00001,Probability Theory: Foundation for Data Science
user_00002,Estrategia de precios
user_00003,Project Planning and Execution
user_00003,Business Law and the Fashion Industry
user_00003,Google IT Automation with Python Professional Certificate
user_00003,AWS Cloud Solutions Architect  Professional Certificate
user_00004,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate
user_00004,Low-Budget Video Production: Visual Communication for Small Charities
user_00004,Build a Physical Computing Prototype
user_00004,Agriculture: Smart Food Urban Farming
user_00005,Web Design: Strategy and Information Architecture
user_00006,Machine Learning Algorithms with R in Business Analytics
user_00006,Dynamic Public Speaking Specialization
user_00007,Accounting Transactions: Further Considerations
user_00008,Project Management: Beyond the Basics
user_00009,Search Marketing: Search Engine Optimisation (SEO)
user_00009,Bioinformatic Methods II
user_00010,Small and Mighty: Introduction to Microbiology
user_00010,Business English for Non-Native Speakers Specialization
user_00010,Supporting Victims of Domestic Violence
user_00010,Containerised Applications on AWS
user_00010,Introduction to Digital Project Management
user_00011,Methods and Statistics in Social Sciences Specialization
user_00011,Leading Change in Health Informatics
user_00012,Psychological First Aid
user_00012,Contemporary Chinese III:  3.2
user_00012,Introduction to Computer Vision
user_00012,Introduction to Humanitarian Aid
user_00013,Adjectives and Adjective Clauses
user_00013,Intermediate PostgreSQL
user_00013,How to Become a Robotics Engineer
user_00013,The True Story of Jamaican Jerk: Cooking and Caribbean Culture
user_00013,International Marketing: Cultural Factors
user_00014,Omnichannel Retail Strategy Specialization
user_00014,Advanced Operating Systems
user_00015,AI For Everyone
user_00015,Online Display Advertising: The User Journey
user_00015,Country Houses and the British Empire: How Imperialism Transformed Britain’s Colonial Countryside
user_00015,The Ideal of Self-Governance: Public Policy Beyond Markets and States
user_00016,Distributed Computing with Spark SQL
user_00017,Dead Interesting: Uncovering Roman Britain in Old Museum Collections
user_00017,Genomic Technologies in Clinical Diagnostics: Next Generation Sequencing
user_00018,Precision Medicine
user_00018,Evaluation of Digital Health Interventions
user_00019,Building Web Applications in Django
user_00019,"C++ For C Programmers, Part B"
user_00019,Understanding and Teaching Evolution
user_00020,Women in Leadership: Inspiring Positive Change
user_00020,Engineering Project Management: Initiating and Planning
user_00020,Good Practice in Autism Education
user_00021,Abnormal Psychology Specialization
user_00022,Project Planning and Execution
user_00022,Copywriting Fundamentals
user_00022,Teach like an Entrepreneur: Bringing Entrepreneurship into the Classroom
user_00022,Supply Market Analysis
user_00022,Shakespeare: Print and Performance
user_00023,Introduction to UX and Accessible Design
user_00024,Data Analysis with R Specialization
user_00024,Finanzas para directivos
user_00024,The Technology of Music Production
user_00025,"Start the UX Design Process: Empathize, Define, and Ideate"
user_00026,Scaled Agile
user_00026,Why Do We Age? The Molecular Mechanisms of Ageing
user_00027,Delivery Problem
user_00027,Guitar for Beginners
user_00027,Strategic Business Planning
user_00027,Probability & Statistics for Machine Learning & Data Science
user_00027,"Social Influence: Diversity, Conformity, and Conflict"
user_00028,Administración de Proyectos: Principios Básicos Specialization
user_00028,Dynamics 365: Customer Engagement for Sales
user_00028,Supply Chain Principles
user_00028,The Future of Human Resource Management (HRM)
user_00029,Google Docs en Español
user_00029,Business English for Cross-cultural Communication
user_00029,Digitalisation in Aeronautics
user_00029,Introduction to HACCP for Food Safety
user_00029,Dynamic Public Speaking Specialization
user_00030,Data Analytics in Accounting Capstone
user_00030,Patent Law
user_00030,Sustainability and Biculturalism: Their Interrelationships and Impacts
user_00031,Teaching Popular Music in the Classroom
user_00031,Introduction to Creative AI
user_00032,"Start the UX Design Process: Empathize, Define, and Ideate"
user_00032,Optimize ML Models and Deploy Human-in-the-Loop Pipelines
user_00032,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate
user_00033,Artificial Intelligence
user_00033,Introduction to Intercultural Studies: Intercultural Contact
user_00033,Photographing the Holocaust
user_00034,Gender Representation in the Media
user_00034,Sequence Models
user_00035,Scarcity and Resources in Healthcare
user_00036,Strategic Career Self-Management
user_00036,Environmental Challenges: Hierarchy in Property Rights
user_00036,Java Programming Basics
user_00037,Photographing the Holocaust
user_00037,Transport Systems: Global Issues and Future Innovations
user_00037,Mandarin Chinese 1: Chinese for Beginners
user_00037,Introduction to Operating Systems
user_00038,3D Model Creation with Autodesk Fusion 360
user_00038,Driving business towards the Sustainable Development Goals
user_00039,"Creating Audio Description: Equality, Diversity, and Inclusion"
user_00040,"Immunology: Autoimmunity, Allergy, and Transplants"
user_00040,Introduction to Creative AI
user_00040,British Germanophobia During WW1: 'The Enemy at Home'
user_00040,Palliative Care: It's Not Just Hospice Anymore Specialization
user_00040,Diversité et inclusion sur le lieu de travail 
user_00041,Mandarin Chinese 3: Chinese for Beginners
user_00042,Data Visualization with R
user_00042,Enlightening the Dark Ages: Early Medieval Archaeology in Italy
user_00042,UI Automation and Selectors
user_00042,Foundations of Management Specialization
user_00042,Essential Design Principles for Tableau
user_00043,Meta Database Engineer Professional Certificate
user_00043,Introduction to Korean
user_00044,IBM Data Science Professional Certificate
user_00044,Introduction to the Biology of Cancer
user_00044,Business English: Management and Leadership
user_00045,Supporting Parents of a Newborn Baby
user_00045,Change of Era: The Origins of Christian Culture through the Lens of Archaeology
user_00045,Preparing for Google Cloud Certification: Cloud Network Engineer Professional Certificate
user_00045,DeepLearning.AI TensorFlow Developer Professional Certificate
user_00045,Preparing for Teaching
user_00046,Building Design: Material Selection for Healthier Communities
user_00046,Ethical Cities: Shaping the Future of Your City
user_00046,"DevOps, Cloud, and Agile Foundations Specialization"
